serial_num,model_id,runtime_name,task_type,input_resolution,model_path,metric_name,metric_8bits,metric_32bits,metric_reference,num_subgraphs,infer_time_core_ms,ddr_transfer_mb,run_dir,artifact_name
98,od-8210,onnxrt,detection,416,yolox_tiny_lite_416x416_20220217_model.onnx,accuracy_ap[.5:.95]%,24.307229,25.62717,30.5,1,0,0,od-8210_onnxrt_coco_edgeai-mmdet_yolox_tiny_lite_416x416_20220217_model_onnx,ONR-OD-8210-yolox-tiny-lite-mmdet-coco-416x416
99,od-8220,onnxrt,detection,640,yolox_s_lite_640x640_20220221_model.onnx,accuracy_ap[.5:.95]%,28.461712,29.557811,38.3,1,0,0,od-8220_onnxrt_coco_edgeai-mmdet_yolox_s_lite_640x640_20220221_model_onnx,ONR-OD-8220-yolox-s-lite-mmdet-coco-640x640
100,od-8230,onnxrt,detection,640,yolox_m_lite_20220228_model.onnx,accuracy_ap[.5:.95]%,33.655123,35.795514,44.4,1,0,0,od-8230_onnxrt_coco_edgeai-mmdet_yolox_m_lite_20220228_model_onnx,ONR-OD-8230-yolox-m-lite-mmdet-coco-640x640
101,od-8410,onnxrt,detection,416,yolox_tiny_lite_416x416_20220318_model.onnx,accuracy_ap[.5:.95]%,16.126937,16.635367,23.5,1,0,0,od-8410_onnxrt_widerface_edgeai-mmdet_yolox_tiny_lite_416x416_20220318_model_onnx,ONR-OD-8410-yolox-tiny-lite-mmdet-widerface-416x416
102,od-8420,onnxrt,detection,640,yolox_s_lite_640x640_20220307_model.onnx,accuracy_ap[.5:.95]%,20.280958,23.684471,31.62,1,0,0,od-8420_onnxrt_widerface_edgeai-mmdet_yolox_s_lite_640x640_20220307_model_onnx,ONR-OD-8420-yolox-s-lite-mmdet-widerface-640x640
103,od-8421,onnxrt,detection,1024,yolox_s_lite_1024x1024_20220317_model.onnx,accuracy_ap[.5:.95]%,26.339588,29.351536,None,1,0,0,od-8421_onnxrt_widerface_edgeai-mmdet_yolox_s_lite_1024x1024_20220317_model_onnx,ONR-OD-8421-yolox-s-lite-mmdet-widerface-1024x1024
104,od-8430,onnxrt,detection,640,yolox_m_lite_640x640_20220318_model.onnx,accuracy_ap[.5:.95]%,19.762312,26.633828,33.6,1,0,0,od-8430_onnxrt_widerface_edgeai-mmdet_yolox_m_lite_640x640_20220318_model_onnx,ONR-OD-8430-yolox-m-lite-mmdet-widerface-640x640
105,od-8450,onnxrt,detection,640,yolov5s6_640_ti_lite_71p53.onnx,accuracy_ap[.5:.95]%,32.614709,33.005806,37.74,1,0,0,od-8450_onnxrt_widerface_edgeai-yolov5_yolov5s6_640_ti_lite_71p53_onnx,ONR-OD-8450-yolov5-s6-ti-lite-widerface-640x640
106,ss-2540,tflitert,segmentation,512x512,deeplabv3_mnv2_ade20k_train_20181203_512x512.tflite,accuracy_mean_iou%,16.794601,18.055338,32.04,1,0,0,ss-2540_tflitert_ade20k_tf1-models_deeplabv3_mnv2_ade20k_train_20181203_512x512_tflite,TFL-SS-2540-deeplabv3-mobv2-ade20k-512x512
107,ss-2580,tflitert,segmentation,512x512,deeplabv3_mnv2_ade20k32_float.tflite,accuracy_mean_iou%,34.243642,35.201651,54.8,1,0,0,ss-2580_tflitert_ade20k32_mlperf_deeplabv3_mnv2_ade20k32_float_tflite,TFL-SS-2580-deeplabv3_mobv2-ade20k32-mlperf-512x512
108,ss-2590,tflitert,segmentation,512x512,deeplabv3_mnv2_dm05_pascal_trainaug_512x512.tflite,accuracy_mean_iou%,60.667187,67.29377,70.19,1,0,0,ss-2590_tflitert_voc2012_tf1-models_deeplabv3_mnv2_dm05_pascal_trainaug_512x512_tflite,TFL-SS-2590-deeplabv3_mobv2-dm05-pascal-trainaug-512x512
109,ss-2600,tflitert,segmentation,512x512,deeplabv3_mnv2_pascal_trainaug_512x512.tflite,accuracy_mean_iou%,71.197913,73.612689,77.33,1,0,0,ss-2600_tflitert_voc2012_tf1-models_deeplabv3_mnv2_pascal_trainaug_512x512_tflite,TFL-SS-2600-deeplabv3_mobv2-pascal-trainaug-512x512
110,ss-5720,tvmdlr,segmentation,512x512,fpn_aspp_regnetx800mf_edgeailite_512x512_20210405.onnx,accuracy_mean_iou%,59.944631,59.81156,61.09,1,0,0,ss-5720_tvmdlr_cocoseg21_edgeai-tv_fpn_aspp_regnetx800mf_edgeailite_512x512_20210405_onnx,TVM-SS-5720-deeplabv3lite-regnetx800mf-cocoseg21-512x512
111,ss-5818,tvmdlr,segmentation,432x768,deeplabv3plus_mobilenetv2_tv_edgeailite_robokit-zed1hd_768x432_qat-p2.onnx,accuracy_mean_iou%,53.937436,48.61324,54.1,1,0,0,ss-5818_tvmdlr_ti-robokit_edgeai-tv_deeplabv3plus_mobilenetv2_tv_edgeailite_robokit-zed1hd_768x432_qat-p2_onnx,TVM-SS-5818-deeplabv3lite-mobv2-qat-robokit-768x432
112,ss-8610,onnxrt,segmentation,512x512,deeplabv3plus_mobilenetv2_edgeailite_512x512_20210308_outby4.onnx,accuracy_mean_iou%,51.434706,51.428711,51.08,1,0,0,ss-8610_onnxrt_ade20k32_edgeai-tv_deeplabv3plus_mobilenetv2_edgeailite_512x512_20210308_outby4_onnx,ONR-SS-8610-deeplabv3lite-mobv2-ade20k32-512x512
113,ss-8630,onnxrt,segmentation,512x512,unet_aspp_mobilenetv2_edgeailite_512x512_20210306_outby2.onnx,accuracy_mean_iou%,49.756991,50.453571,50.07,1,0,0,ss-8630_onnxrt_ade20k32_edgeai-tv_unet_aspp_mobilenetv2_edgeailite_512x512_20210306_outby2_onnx,ONR-SS-8630-unetlite-aspp-mobv2-tv-ade20k32-512x512
114,ss-8650,onnxrt,segmentation,512x512,fpn_aspp_mobilenetv2_edgeailite_512x512_20210306_outby4.onnx,accuracy_mean_iou%,50.654746,52.01188,50.55,1,0,0,ss-8650_onnxrt_ade20k32_edgeai-tv_fpn_aspp_mobilenetv2_edgeailite_512x512_20210306_outby4_onnx,ONR-SS-8650-fpnlite-aspp-mobv2-ade20k32-512x512
115,ss-8670,onnxrt,segmentation,512x512,fpn_aspp_mobilenetv2_1p4_edgeailite_512x512_20210307_outby4.onnx,accuracy_mean_iou%,52.465706,53.176752,52.9,1,0,0,ss-8670_onnxrt_ade20k32_edgeai-tv_fpn_aspp_mobilenetv2_1p4_edgeailite_512x512_20210307_outby4_onnx,ONR-SS-8670-fpnlite-aspp-mobv2-1p4-ade20k32-512x512
116,ss-8690,onnxrt,segmentation,384x384,fpn_aspp_regnetx400mf_edgeailite_384x384_20210314_outby4.onnx,accuracy_mean_iou%,49.694006,51.079103,50.85,1,0,0,ss-8690_onnxrt_ade20k32_edgeai-tv_fpn_aspp_regnetx400mf_edgeailite_384x384_20210314_outby4_onnx,ONR-SS-8690-fpnlite-aspp-regnetx400mf-ade20k32-384x384
117,ss-8700,onnxrt,segmentation,512x512,fpn_aspp_regnetx800mf_edgeailite_512x512_20210312_outby4.onnx,accuracy_mean_iou%,52.883684,53.60652,53.16,1,0,0,ss-8700_onnxrt_ade20k32_edgeai-tv_fpn_aspp_regnetx800mf_edgeailite_512x512_20210312_outby4_onnx,ONR-SS-8700-fpnlite-aspp-regnetx800mf-ade20k32-512x512
118,ss-8710,onnxrt,segmentation,512x512,deeplabv3plus_mobilenetv2_edgeailite_512x512_20210405.onnx,accuracy_mean_iou%,55.969182,56.515365,57.77,1,0,0,ss-8710_onnxrt_cocoseg21_edgeai-tv_deeplabv3plus_mobilenetv2_edgeailite_512x512_20210405_onnx,ONR-SS-8710-deeplabv3lite-mobv2-cocoseg21-512x512
119,ss-8720,onnxrt,segmentation,512x512,fpn_aspp_regnetx800mf_edgeailite_512x512_20210405.onnx,accuracy_mean_iou%,60.392952,59.81156,61.09,1,0,0,ss-8720_onnxrt_cocoseg21_edgeai-tv_fpn_aspp_regnetx800mf_edgeailite_512x512_20210405_onnx,ONR-SS-8720-deeplabv3lite-regnetx800mf-cocoseg21-512x512
120,ss-8730,onnxrt,segmentation,512x512,deeplabv3_mobilenet_v3_large_lite_512x512_20210527.onnx,accuracy_mean_iou%,60.013252,62.733173,60.8,1,0,0,ss-8730_onnxrt_cocoseg21_edgeai-tv_deeplabv3_mobilenet_v3_large_lite_512x512_20210527_onnx,ONR-SS-8730-deeplabv3-mobv3-lite-large-cocoseg21-512x512
121,ss-8818,onnxrt,segmentation,432x768,deeplabv3plus_mobilenetv2_tv_edgeailite_robokit-zed1hd_768x432_qat-p2.onnx,accuracy_mean_iou%,54.202586,48.613202,54.1,1,0,0,ss-8818_onnxrt_ti-robokit_edgeai-tv_deeplabv3plus_mobilenetv2_tv_edgeailite_robokit-zed1hd_768x432_qat-p2_onnx,ONR-SS-8818-deeplabv3lite-mobv2-qat-robokit-768x432
